Ward,Neighbourhood Number,Neighbourhood Name,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85+,No Response
WARD 5,4380,ORMSBY PLACE,196,216,248,279,292,252,267,220,214,262,352,422,293,206,112,58,26,27,1422
WARD 8,6550,OTTEWELL,205,185,177,247,309,282,255,238,217,299,407,431,293,292,219,289,202,223,959
WARD 9,5457,CALLAGHAN,247,222,163,120,125,153,172,222,153,139,118,113,74,52,40,21,2,8,1415
WARD 10,5060,BLUE QUILL,238,206,171,150,191,273,324,289,239,168,170,167,145,115,63,53,30,18,1609
WARD 5,4120,DONSDALE,29,51,67,79,68,40,29,49,69,76,103,104,154,149,63,38,76,47,183
WARD 9,5230,HENDERSON ESTATES,43,66,118,125,107,50,52,58,88,135,121,161,154,126,74,50,28,13,236
WARD 4,2530,MCLEOD,78,57,79,105,122,84,84,77,93,121,129,168,148,145,116,78,49,24,469
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5360,RIDEAU PARK,40,45,47,66,67,82,76,73,68,72,98,85,72,97,79,76,73,86,679
WARD 2,3020,BARANOW,72,43,30,14,48,103,91,69,59,43,40,47,61,66,62,60,38,58,773
WARD 6,1030,CENTRAL MCDOUGALL,186,119,57,104,237,407,512,330,266,237,203,247,170,105,67,33,30,36,1565
WARD 5,4461,THE HAMPTONS,894,926,627,495,433,722,1077,1074,831,663,545,358,237,145,66,38,16,8,2405
WARD 5,4462,EDGEMONT,173,96,60,56,44,159,172,125,81,74,43,45,42,26,29,5,3,6,297
WARD 3,3080,CANOSSA,192,291,205,203,200,172,216,277,252,279,217,212,126,78,47,21,15,9,272
WARD 5,4110,DECHENE,48,66,65,98,92,49,60,56,70,67,94,171,151,104,67,49,22,27,276
WARD 11,6360,KING EDWARD PARK,183,157,147,177,289,383,383,297,242,228,250,283,226,137,84,54,42,68,618
WARD 1,4540,TERRA LOSA,54,40,40,30,76,110,104,103,95,114,124,153,152,189,131,195,154,150,209
WARD 2,3170,DOVERCOURT,79,93,70,65,95,105,107,114,116,123,137,170,96,79,46,38,33,36,513
WARD 10,5260,LANSDOWNE,46,69,57,57,83,75,55,62,54,66,83,76,75,53,31,72,43,21,163
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2521,MCCONACHIE AREA,594,322,201,179,212,387,834,401,268,185,129,103,112,54,25,30,6,8,891
WARD 8,6270,GOLD BAR,123,145,153,117,143,173,140,167,145,123,181,184,142,88,88,91,71,72,453
WARD 2,3090,CARLISLE,200,227,182,163,158,186,232,194,197,174,183,194,174,132,87,58,35,22,954
WARD 5,4220,JAMIESON PLACE,65,105,109,128,146,102,78,106,109,143,205,223,179,122,56,49,32,23,1389
WARD 7,1130,ELMWOOD PARK,44,44,27,33,47,34,45,40,43,55,49,54,50,30,24,21,20,11,422
WARD 11,6200,EKOTA,95,119,119,119,92,106,125,101,105,107,88,114,124,125,76,37,19,8,736
WARD 9,5476,MAGRATH HEIGHTS,174,244,170,190,166,109,138,241,249,249,186,160,105,78,70,59,32,28,809
WARD 9,5340,RAMSAY HEIGHTS,179,174,168,165,198,167,211,212,188,192,185,238,270,231,143,86,38,31,313
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3150,CUMBERLAND,310,378,324,263,218,237,411,391,332,327,316,235,215,119,51,46,25,13,1867
WARD 4,2350,HOMESTEADER,214,257,200,191,156,176,227,206,202,171,151,154,152,118,92,52,29,12,785
WARD 9,5468,GRAYDON HILL,3,3,1,3,9,15,12,2,5,3,1,3,4,1,0,0,0,0,64
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3240,INGLEWOOD,202,212,113,152,265,388,492,404,331,309,362,314,259,204,129,126,127,197,1336
WARD 7,2550,MONTROSE,106,92,98,95,144,184,158,140,151,156,183,165,129,124,56,47,14,33,1234
WARD 3,2511,MAYLIEWAN,92,172,228,259,237,148,127,158,203,231,335,316,193,166,93,65,32,25,973
WARD 1,4180,GLENWOOD,192,199,193,189,203,258,306,311,215,278,269,309,245,198,197,181,146,116,974
WARD 1,4740,WEBBER GREENS,137,124,99,110,100,90,157,160,160,153,98,67,46,19,17,3,3,8,720
WARD 2,3470,CARLTON,259,254,227,158,157,245,325,269,279,235,151,148,143,73,44,44,10,7,1905
WARD 9,5090,BROOKSIDE,75,88,74,94,50,36,50,79,67,90,79,73,86,68,59,58,53,29,829
WARD 7,2560,NEWTON,110,106,90,97,135,139,149,125,121,114,180,213,167,124,89,75,45,68,669
WARD 12,6662,WALKER,651,549,389,314,340,700,893,710,506,337,220,176,139,88,40,26,7,5,1456
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5190,FALCONER HEIGHTS,31,74,82,89,84,46,30,49,72,104,99,99,101,69,54,49,50,233,552
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,28,19,12,18,62,118,77,10,16,23,10,23,36,11,13,0,1,0,81
WARD 9,5640,TERWILLEGAR TOWNE,310,435,423,369,231,252,333,426,467,417,387,312,214,151,132,93,97,190,945
WARD 12,6661,CHARLESWORTH,384,348,204,184,266,421,455,399,279,198,177,153,107,64,31,15,14,4,1759
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5458,ALLARD,213,148,97,79,91,174,214,213,157,104,110,70,50,34,26,11,1,0,1341
WARD 7,1240,VIRGINIA PARK,13,13,9,38,52,32,20,33,23,22,22,39,18,28,44,72,55,61,137
WARD 12,6790,WILD ROSE,294,394,475,494,417,350,421,431,545,457,389,381,358,277,145,83,38,43,2621
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6320,IDYLWYLDE,56,45,28,59,102,109,115,73,83,57,102,117,83,80,68,66,66,83,430
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5030,BEARSPAW,87,96,65,99,115,85,74,86,62,95,142,162,158,147,91,96,67,43,333
WARD 7,2230,DELWOOD,99,125,119,131,130,151,118,119,122,164,236,150,129,115,155,201,120,64,865
WARD 9,5630,LEGER,58,126,180,187,107,60,89,112,164,188,155,123,114,97,58,40,12,14,578
WARD 5,4420,QUESNELL HEIGHTS,9,32,18,30,22,20,7,17,18,20,24,37,29,26,13,11,6,3,30
WARD 2,3430,WELLINGTON,123,154,151,151,140,174,180,162,142,166,203,174,136,98,99,96,72,57,652
WARD 8,5040,BELGRAVIA,89,94,120,106,300,168,94,99,119,124,132,151,178,120,93,69,37,60,181
WARD 2,1230,SPRUCE AVENUE,43,30,26,59,143,108,122,95,99,84,150,128,105,84,37,52,21,35,461
WARD 11,6410,MAPLE RIDGE,41,49,34,42,49,67,58,42,76,98,137,154,110,104,68,52,17,10,401
WARD 8,6730,TERRACE HEIGHTS,65,53,58,67,77,113,185,100,73,108,140,167,128,71,43,65,70,67,774
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6710,STRATHEARN,80,65,28,50,81,137,194,125,116,88,116,194,148,199,136,117,47,100,621
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,21,23,22,1,1,0,0,2,0,0,3,2,0,0,0,0,0,0,2
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1150,OLIVER,224,108,85,163,871,1713,1505,908,595,564,599,785,745,705,535,448,385,419,6766
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6290,HAZELDEAN,122,159,116,124,190,301,360,192,170,174,219,222,160,134,81,51,49,53,396
WARD 1,4473,HAWKS RIDGE,30,26,12,4,9,45,61,74,48,15,20,16,14,5,0,0,0,0,29
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4580,WEST JASPER PLACE,110,74,76,77,120,180,319,172,151,132,164,194,190,103,64,77,34,63,768
WARD 9,5462,CHAPPELLE AREA,447,231,136,93,148,375,590,432,211,92,107,91,67,31,19,3,0,3,1237
WARD 9,5300,OGILVIE RIDGE,25,29,39,48,46,23,19,29,24,44,63,93,92,84,45,29,15,10,225
WARD 7,2400,KILDARE,94,89,106,111,94,127,103,108,114,101,140,143,132,122,199,172,102,92,553
WARD 3,2050,BELLE RIVE,90,159,191,263,236,190,138,148,193,242,293,301,222,159,75,55,38,28,713
WARD 4,2541,MILLER,167,161,141,141,115,153,204,212,188,180,152,136,115,120,71,66,38,44,762
WARD 9,5642,SOUTH TERWILLEGAR,608,597,404,347,371,557,880,825,601,414,343,271,203,164,81,60,23,21,1807
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4730,SUDER GREENS,199,218,171,135,152,138,215,227,249,208,177,159,106,100,59,36,19,6,706
WARD 7,2420,KILLARNEY,331,280,163,169,220,272,262,294,276,248,238,166,120,104,78,79,48,53,951
WARD 1,4710,POTTER GREENS,30,48,72,96,86,27,38,33,68,105,106,141,128,134,86,51,35,21,185
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1070,CROMDALE,129,64,42,53,142,152,137,98,76,65,81,93,68,64,45,24,18,17,691
WARD 10,5280,MALMO PLAINS,253,217,127,126,180,278,310,279,199,178,174,158,122,86,104,129,58,57,191
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3460,ALBANY,101,54,44,28,67,120,117,71,56,26,41,49,26,13,17,4,2,4,443
WARD 1,4590,WEST MEADOWLARK PARK,103,85,92,97,112,108,131,114,121,153,217,196,216,119,147,131,88,57,987
WARD 3,2700,SCHONSEE,191,215,164,164,182,228,228,239,172,161,110,125,98,69,56,52,42,22,311
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,1,2,3,8,17,13,17,12,28,25,23,15,14,17,17,32,20,14,37
WARD 12,6530,MINCHAU,72,93,108,85,86,101,112,105,98,107,120,154,167,85,53,23,13,16,1533
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6340,KAMEYOSEK,104,126,127,99,81,106,133,140,119,92,102,118,110,91,71,53,105,160,466
WARD 10,5220,GREENFIELD,129,185,177,237,232,123,124,163,216,226,270,251,191,205,250,194,95,72,347
WARD 4,2145,CLAREVIEW TOWN CENTRE,166,154,86,95,225,412,308,248,201,165,120,104,68,42,36,18,11,5,871
WARD 9,5452,MACEWAN,288,334,234,233,295,441,486,421,426,389,286,247,216,176,114,75,39,29,745
WARD 1,4471,TRUMPETER AREA,111,59,34,22,46,115,159,107,65,48,44,41,32,17,6,3,0,1,146
WARD 2,3250,KENSINGTON,92,107,72,102,111,101,109,111,115,109,158,158,119,203,203,253,332,494,900
WARD 6,1210,RIVERDALE,77,73,65,51,84,110,119,109,105,114,135,168,154,129,74,28,17,12,392
